Job Title,Company,Location,URL,Role Type,Source,Description,Match Status
"Product Owner F/H – CGI – Toulouse, France",CGI,"Toulouse, FR","https://www.glassdoor.fr/job-listing/product-owner-fh-cgi-JV_IC3050528_KO0,16_KE17,20.htm?jl=1009928892272","Product Owner F/H, Product Owner, Product Manager, PM",Glassdoor,"Product Owner F/H at CGI in the Greater Toulouse Metropolitan Area – a full‑time role overseeing product definition, backlog management, stakeholder communication, and delivery of product features for CGI's clients.",Matched
ALTEN's Product Owner/ Product Manager H/F job in Toulouse,N/A,"Toulouse, FR","https://www.glassdoor.fr/job-listing/product-owner-product-manager-hf-alten-JV_IC3050528_KO0,32_KE33,38.htm?jl=1009952234284","Product Owner/ Product Manager H/F, Product Owner, Product Manager, PM",Glassdoor,"ALTEN's Glassdoor job posting for a Product Owner/ Product Manager H/F in Toulouse, France.",Matched
"Product Owner/Business Analyst H/F – Expleo – Toulouse, France (Glassdoor)",Expleo,"Toulouse, FR","https://www.glassdoor.com/job-listing/product-owner-business-analyst-hf-expleo-JV_IC3050528_KO0,33_KE34,40.htm?jl=1009647595840","Product Owner/Business Analyst H/F; normalized labels: Product Owner, Business Analyst, Product Manager, PM",Glassdoor,"Job posting on Glassdoor for a Product Owner/Business Analyst (H/F) position at Expleo in Toulouse, France, requiring English language proficiency and Agile experience.",Matched
Responsable de Produits en Fabrication - F/H,N/A,"Toulouse, FR",https://www.welcometothejungle.com/fr/companies/thales/jobs/responsable-de-produits-en-fabrication-fh_toulouse,"Responsable de Produits en Fabrication - F/H, Responsable de Produits, Responsable Produit, Product Manager, Product Owner, Chef de Produit, PM",Welcome to the Jungle,"A full‑time product manufacturing manager position (Responsable de Produits en Fabrication - F/H) at Thales, located in Toulouse, France. The posting is listed on the Welcome to the Jungle job board.",Matched
"Product Documentation Manager – Scaleway – Toulouse, France",Scaleway,"Toulouse, FR","https://www.glassdoor.fr/job-listing/product-documentation-manager-scaleway-JV_IC3050528_KO0,29_KE30,38.htm","Product Documentation Manager, Technical Writer, Documentation Manager, Product Manager, Product Owner, PM",Glassdoor,"A technical writing role at Scaleway in Toulouse, France, responsible for creating and maintaining documentation for SaaS products, requiring 5+ years of experience and skills in Jira, French, English, GitHub, and SaaS.",Matched
"Product Marketing Manager (H/F) – Eurécia – Toulouse, France",Eurécia,"Toulouse, FR","https://www.glassdoor.fr/job-listing/product-marketing-manager-hf-eur%C3%A9cia-JV_IC3050528_KO0,28_KE29,36.htm?jl=1009897294622","Product Marketing Manager (H/F), Product Marketing Manager, Product Manager, Product Marketing, PM",Glassdoor,"A full‑time Product Marketing Manager role (H/F) at Eurécia in Toulouse, requiring strong written and oral communication skills and focusing on product marketing strategy.",Matched
"Product Manager, Thales, Toulouse, France",N/A,"Toulouse, FR","https://www.glassdoor.com/Job/toulouse-product-manager-jobs-SRCH_IL.0,8_IC3050528_KO9,24.htm",Product Manager,Glassdoor,"A product manager position at Thales located in Toulouse, France, listed on Glassdoor job board.",Matched
"Product Manager, Aerospacelab, Toulouse, France, Indeed",N/A,"Toulouse, FR",,Product Manager,Unknown,"A product manager job in Toulouse, France listed on Indeed (company name Aerospacelab not verifiable).",Matched
"Product Manager, Airbus, Toulouse, France",N/A,"Toulouse, FR","https://www.glassdoor.com/Job/toulouse-product-manager-jobs-SRCH_IL.0,8_IC3050528_KO9,24.htm",Product Manager,Glassdoor,"A Product Manager role at Airbus located in Toulouse, France, listed on Glassdoor job board.",Matched
STAGE 2026 : Product owner - Ingénierie Mécanique & Données Industrielles H/F,N/A,"Toulouse, FR","https://www.glassdoor.fr/job-listing/stage-2026-product-owner-ing%C3%A9nierie-m%C3%A9canique-donn%C3%A9es-industrielles-hf-airbus-sas-JV_IC3050528_KO0,70_KE71,81.htm?jl=1009899822275","Product owner - Ingénierie Mécanique & Données Industrielles H/F, Digital Product Owner, Product Owner",Glassdoor,"This is a 2026 internship (stage) for a Product Owner focusing on mechanical engineering and industrial data at Airbus in Toulouse, France. The role involves data modeling, technical architecture design, and related engineering tasks.",Matched
"Product Owner F/H – CGI – Toulouse, France",CGI,"Toulouse, FR","https://www.glassdoor.fr/job-listing/product-owner-fh-cgi-JV_IC3050528_KO0,16_KE17,20.htm","Product Owner F/H, Product Owner",Glassdoor,"The listing is for a Product Owner (F/H) position at CGI in Toulouse, France, posted on Glassdoor. The role involves product ownership responsibilities within a major IT consulting firm, requiring skills such as Jira, SAFe, Azure, and Kanban.",Matched
"Confluences IT – Product Owner (Toulouse, France)",Product Owner (Toulouse,"Toulouse, FR","https://www.glassdoor.fr/job-listing/product-owner-fh-confluences-it-JV_IC3050528_KO0,34_KE35,38.htm","Product Owner, Product Manager, PM",Glassdoor,"A Product Owner role at Confluences IT in Toulouse, France, responsible for gathering user requirements, planning releases, coordinating sprints and defining sprint goals.",Matched
Product Manager H/F – Eldo – Toulouse,Eldo,"Toulouse, FR","https://www.glassdoor.fr/job-listing/product-manager-fh-eldo-JV_IC3050528_KO0,18_KE19,23.htm","Product Manager F/H, Product Manager, PM, Product Owner",Glassdoor,"This is a Glassdoor job posting for a Product Manager (H/F) position at Eldo, located in Toulouse, France. The role focuses on product ownership, user adoption measurement, and cross‑functional coordination.",Matched
Product Manager (H/F) – Elements Apps,Elements Apps,"Toulouse, FR",https://www.welcometothejungle.com/en/companies/elements-apps/jobs/product-manager_toulouse_EA_3m6DA3y,"Product Manager (H/F), Product Manager, Product Owner, PM",Welcome to the Jungle,"Product Manager (H/F) position at Elements Apps located in Toulouse, France, listed on Welcome to the Jungle with a salary range of €52K‑57K and requiring over 3 years of experience.",Matched
"Product Manager F/H – Eldo – Toulouse, France",Eldo,"Toulouse, FR","https://www.glassdoor.fr/job-listing/product-manager-fh-eldo-JV_IC3050528_KO0,18_KE19,23.htm?jl=1009443400048","Product Manager F/H, Product Manager, Product Owner, PM",Glassdoor,"A full‑time Product Manager (F/H) role at Eldo in Toulouse, France. Responsibilities include measuring product adoption, gathering user feedback, defining requirements, and coordinating with development teams. Required skills listed are Jira, SQL, product management, Agile, and Google Analytics.",Matched
"Chef de Projet / Product Owner Métiers Douanes (H/F) – Lúka – Toulouse, France",Lúka,"Toulouse, FR","https://www.glassdoor.com/Job/chef-de-projet-product-owner-m%C3%A9tiers-douanes-hf-l%C3%B9kla-JV_IC3050528_KO0,47_KE48,53.htm?jl=1009948139473","Chef de Projet / Product Owner Métiers Douanes (H/F) – Lûka – Toulouse, France, Chef de Projet, Product Owner",Glassdoor,"A Glassdoor job posting for Lúka seeking a Chef de Projet / Product Owner Métiers Douanes (H/F) located in Toulouse, France, representing a product‑manager‑type role.",Matched
"Product Owner – Confluences IT – Toulouse, France (Glassdoor)",Confluences IT,"Toulouse, FR","https://www.glassdoor.fr/job-listing/product-owner-confluences-it-JV_IC3050528_KO0,24_KE31,38.htm","Product Owner, Product Manager",Glassdoor,"This is a Glassdoor job posting for a Product Owner position at Confluences IT located in Toulouse, France. The role involves gathering user needs, planning releases, and coordinating sprints, which aligns with product management responsibilities.",Matched
"Product Manager H/F at Kicklox – Toulouse, Occitanie, France",Toulouse,"Toulouse, FR",https://www.linkedin.com/jobs/view/product-manager-h-f-at-kicklox-4293730473,"Product manager H/F, Product Manager, Product Owner, PM",LinkedIn,"This is a LinkedIn job posting for a Product Manager (H/F) position at Kicklox located in Toulouse, Occitanie, France.",Matched
"Product Owner H/F – Kicklox – Toulouse, France",Kicklox,"Toulouse, FR",https://www.linkedin.com/jobs/product-owner-jobs-toulouse?trk=jobs_jserp_crossLink_click,"Product owner H/F, Product Owner, Product Manager, PM",LinkedIn,"A LinkedIn job search page listing Product Owner positions in Toulouse, which may include a posting for Kicklox but the specific job cannot be verified from the available data.",Matched
